Namespace(exp_name='semseg_s3dis_6', model='dgcnn', dataset='S3DIS', test_area='6', batch_size=32, test_batch_size=16, epochs=100, use_sgd=True, lr=0.001, momentum=0.9, scheduler='cos', no_cuda=False, seed=1, eval=False, num_points=4096, dropout=0.5, emb_dims=1024, k=20, model_root='', visu='', visu_format='ply')
Using GPU : 0 from 1 devices
Namespace(exp_name='semseg_s3dis_6', model='dgcnn', dataset='S3DIS', test_area='6', batch_size=32, test_batch_size=16, epochs=100, use_sgd=True, lr=0.001, momentum=0.9, scheduler='cos', no_cuda=False, seed=1, eval=False, num_points=4096, dropout=0.5, emb_dims=1024, k=20, model_root='', visu='', visu_format='ply')
Using GPU : 0 from 1 devices
Namespace(exp_name='semseg_s3dis_6', model='dgcnn', dataset='S3DIS', test_area='6', batch_size=32, test_batch_size=16, epochs=100, use_sgd=True, lr=0.001, momentum=0.9, scheduler='cos', no_cuda=False, seed=1, eval=False, num_points=4096, dropout=0.5, emb_dims=1024, k=20, model_root='', visu='', visu_format='ply')
Using GPU : 0 from 1 devices
Namespace(exp_name='semseg_s3dis_6', model='dgcnn', dataset='S3DIS', test_area='6', batch_size=32, test_batch_size=16, epochs=100, use_sgd=True, lr=0.001, momentum=0.9, scheduler='cos', no_cuda=False, seed=1, eval=False, num_points=4096, dropout=0.5, emb_dims=1024, k=20, model_root='', visu='', visu_format='ply')
Using GPU : 0 from 1 devices
Train 0, loss: 1.020413, train acc: 0.676537, train avg acc: 0.365260, train iou: 0.274652
Test 0, loss: 0.994378, test acc: 0.673010, test avg acc: 0.428752, test iou: 0.326461
Train 1, loss: 0.738618, train acc: 0.754564, train avg acc: 0.465346, train iou: 0.363952
Test 1, loss: 0.932196, test acc: 0.689989, test avg acc: 0.540071, test iou: 0.392875
Train 2, loss: 0.643617, train acc: 0.782781, train avg acc: 0.527829, train iou: 0.420630
Test 2, loss: 0.818150, test acc: 0.744921, test avg acc: 0.505155, test iou: 0.421231
Train 3, loss: 0.575866, train acc: 0.801111, train avg acc: 0.569496, train iou: 0.459459
Test 3, loss: 0.862784, test acc: 0.708743, test avg acc: 0.574264, test iou: 0.399349
Train 4, loss: 0.529113, train acc: 0.815656, train avg acc: 0.605706, train iou: 0.493263
Test 4, loss: 0.675468, test acc: 0.767309, test avg acc: 0.591291, test iou: 0.474413
Train 5, loss: 0.495032, train acc: 0.827713, train avg acc: 0.632163, train iou: 0.520180
Test 5, loss: 0.656540, test acc: 0.768339, test avg acc: 0.602822, test iou: 0.460294
Train 6, loss: 0.469994, train acc: 0.835263, train avg acc: 0.650656, train iou: 0.539735
Test 6, loss: 0.923634, test acc: 0.736828, test avg acc: 0.487808, test iou: 0.383347
Train 7, loss: 0.438293, train acc: 0.845634, train avg acc: 0.676117, train iou: 0.564455
Test 7, loss: 0.589692, test acc: 0.803582, test avg acc: 0.660963, test iou: 0.529988
Train 8, loss: 0.420677, train acc: 0.851822, train avg acc: 0.693140, train iou: 0.582751
Test 8, loss: 1.058159, test acc: 0.735178, test avg acc: 0.440088, test iou: 0.365668
Train 9, loss: 0.405172, train acc: 0.856494, train avg acc: 0.708546, train iou: 0.597482
Test 9, loss: 0.596756, test acc: 0.801279, test avg acc: 0.661568, test iou: 0.533840
Train 10, loss: 0.386826, train acc: 0.862281, train avg acc: 0.720622, train iou: 0.610354
Test 10, loss: 0.618482, test acc: 0.782461, test avg acc: 0.673772, test iou: 0.549137
Train 11, loss: 0.377752, train acc: 0.866287, train avg acc: 0.730978, train iou: 0.621959
Test 11, loss: 0.564987, test acc: 0.816331, test avg acc: 0.622404, test iou: 0.531820
Train 12, loss: 0.361548, train acc: 0.871612, train avg acc: 0.746042, train iou: 0.636011
Test 12, loss: 0.755611, test acc: 0.767474, test avg acc: 0.583038, test iou: 0.478311
Train 13, loss: 0.347431, train acc: 0.876204, train avg acc: 0.754548, train iou: 0.647676
Test 13, loss: 0.909804, test acc: 0.688396, test avg acc: 0.599273, test iou: 0.408794
Train 14, loss: 0.339271, train acc: 0.879500, train avg acc: 0.770534, train iou: 0.662369
Test 14, loss: 0.654470, test acc: 0.805201, test avg acc: 0.662046, test iou: 0.544654
Train 15, loss: 0.325147, train acc: 0.885259, train avg acc: 0.779670, train iou: 0.673921
